edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,8,9,1f225cfc-e228-4201-8728-6858f1ce7738,61be2fe9-ceeb-4678-b1d8-75b877f3618e,b06ab607-2c81-4ea6-8ced-e8a8af13bf73,6126b537-8b91-41ec-a95f-f1887254aa6f
2,7,9,1f225cfc-e228-4201-8728-6858f1ce7738,743bd87a-2646-4d15-b349-1524727c5a87,7d384d81-f9fd-4b55-84a4-2820ff3c84b1,6126b537-8b91-41ec-a95f-f1887254aa6f
